BU,Function,Vendor,SW Key,Care,Connect,Insights,Network,Care2,Connect2,Insights2,Network2,Care3,Connect3,Insights3,Network3,Care4,Connect4,Insights4,Network4,Care5,Connect5,Care6,Connect6,Care7,Connect7,Care8,Connect8,_BATCH_LAST_RUN_,_BATCH_ID_,_DOWNLOAD_EMAIL_,_FILE_NAME_
Shared Services,Operations,Twilio,Shared Services-Twilio,.8,.2,,,.8,.2,,,.8,.2,,,.8,.2,,,.8,.2,.8,.2,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,Operations,"Udemy, Inc.","Shared Services-Udemy, Inc.",.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,.5,.5,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,Operations,WorkWave,Shared Services-Unit 21,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,.5,.5,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,Operations,Unit21,Shared Services-Unit21,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,.5,.5,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,Application Development,"UserTesting, Inc","Shared Services-UserTesting, Inc",.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,.5,.5,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,Operations,Videra Health,Shared Services-Videra Health,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,.5,.5,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,People,Whispli Inc,Shared Services-Whispli Inc,.25,.25,.25,.25,.25,.25,.25,.25,.25,.25,.25,.25,.25,.25,.25,.25,.5,.5,.5,.5,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,"Shared Services-Workday, Inc",.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,"Shared Services-WORKSPOT, INC.",.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,"Shared Services-Workstream Technologies, Inc",.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,Data Engineering,WPC,Shared Services-WPC,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.05,.95,.05,.95,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,"Shared Services-Yext, Inc",.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,People,Zenefits,Shared Services-Zenefits,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,.5,.5,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,Shared Services-ZOHO Corporation,.5,.5,0,,.5,.5,0,,.5,.5,0,,.5,.5,0,,,,,,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,Shared Services-Zoom Video Communications Inc.,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
